State,CITY,OBJECTID
California,Lemon Grove,224
California,Lemoore,225
California,Lincoln,226
California,Lindsay,227
California,Live Oak,228
California,Livermore,229
California,Livingston,230
California,Lodi,231
California,Loma Linda,232
California,Lomita,233
California,Lompoc,234
California,Long Beach,235
California,Loomis,236
California,Los Alamitos,237
California,Los Altos,238
California,Los Altos Hills,239
California,Los Angeles,240
California,Los Banos,241
California,Los Gatos,242
California,Loyalton,243
California,Lynwood,244
California,Madera,245
California,Malibu,246
California,Mammoth Lakes,247
California,Manhattan Beach,248
California,Manteca,249
California,Maricopa,250
California,Marina,251
California,Martinez,252
California,Marysville,253
California,Maywood,254
California,McFarland,255
California,Mendota,256
California,Menifee,257
California,Menlo Park,258
California,Merced,259
California,Mill Valley,260
California,Millbrae,261
California,Milpitas,262
California,Mission Viejo,263
California,Modesto,264
California,Monrovia,265
California,Montague,266
California,Montclair,267
California,Monte Sereno,268
California,Montebello,269
California,Monterey,270
California,Monterey Park,271
California,Moorpark,272
California,Moraga,273
California,Moreno Valley,274
California,Morgan Hill,275
California,Morro Bay,276
California,Mount Shasta,277
California,Mountain View,278
California,Murrieta,279
California,Napa,280
California,National City,281
California,Needles,282
California,Nevada City,283
California,Newark,284
California,Newman,285
California,Newport Beach,286
California,Norco,287
California,Norwalk,288
California,Novato,289
California,Oakdale,290
California,Oakland,291
California,Oakley,292
California,Oceanside,293
California,Ojai,294
California,Ontario,295
California,Orange,296
California,Orange Cove,297
California,Orinda,298
California,Orland,299
California,Oroville,300
California,Oxnard,301
California,Pacific Grove,302
California,Pacifica,303
California,Palm Desert,304
California,Palm Springs,305
California,Palmdale,306
California,Palo Alto,307
California,Palos Verdes Estates,308
California,Paradise,309
California,Paramount,310
California,Parlier,311
California,Pasadena,312
California,Paso Robles,313
California,Patterson,314
California,Perris,315
California,Petaluma,316
California,Pico Rivera,317
California,Piedmont,318
California,Pinole,319
California,Pismo Beach,320
California,Pittsburg,321
California,Placentia,322
California,Placerville,323
California,Pleasant Hill,324
California,Pleasanton,325
California,Plymouth,326
California,Point Arena,327
California,Pomona,328
California,Port Hueneme,329
California,Porterville,330
California,Portola,331
California,Portola Valley,332
California,Poway,333
California,Rancho Cordova,334
California,Rancho Cucamonga,335
California,Rancho Mirage,336
California,Rancho Palos Verdes,337
California,Rancho Santa Margarita,338
California,Red Bluff,339
California,Redding,340
California,Redlands,341
California,Redondo Beach,342
California,Redwood City,343
California,Reedley,344
California,Rialto,345
California,Richmond,346
California,Ridgecrest,347
California,Rio Dell,348
California,Rio Vista,349
California,Ripon,350
California,Riverbank,351
California,Riverside,352
California,Rocklin,353
California,Rohnert Park,354
California,Rolling Hills,355
California,Rolling Hills Estates,356
California,Rosemead,357
California,Roseville,358
California,Ross,359
California,Sacramento,360
California,Salinas,361
California,San Anselmo,362
California,San Bernardino,363
California,San Bruno,364
California,San Carlos,365
California,San Clemente,366
California,San Diego,367
California,San Dimas,368
California,San Fernando,369
California,San Francisco,370
California,San Gabriel,371
California,San Jacinto,372
California,San Joaquin,373
California,San Jose,374
California,San Juan Bautista,375
California,San Juan Capistrano,376
California,San Leandro,377
California,San Luis Obispo,378
California,San Marcos,379
California,San Marino,380
California,San Mateo,381
California,San Pablo,382
California,San Rafael,383
California,San Ramon,384
California,Sand City,385
California,Sanger,386
California,Santa Ana,387
California,Santa Barbara,388
California,Santa Clara,389
California,Santa Clarita,390
California,Santa Cruz,391
California,Santa Fe Springs,392
California,Santa Maria,393
California,Santa Monica,394
California,Santa Paula,395
California,Santa Rosa,396
California,Santee,397
California,Saratoga,398
California,Sausalito,399
California,Scotts Valley,400
California,Seal Beach,401
California,Seaside,402
California,Sebastopol,403
California,Selma,404
California,Shafter,405
California,Shasta Lake,406
California,Sierra Madre,407
California,Signal Hill,408
California,Simi Valley,409
California,Solana Beach,410
California,Soledad,411
California,Solvang,412
California,Sonoma,413
California,Sonora,414
California,South El Monte,415
California,South Gate,416
California,South Lake Tahoe,417
California,South Pasadena,418
California,South San Francisco,419
California,St. Helena,420
California,Stanton,421
California,Stockton,422
California,Suisun City,423
California,Sunnyvale,424
California,Susanville,425
California,Sutter Creek,426
California,Taft,427
California,Tehachapi,428
California,Tehama,429
California,Temecula,430
California,Temple City,431
California,Thousand Oaks,432
California,Tiburon,433
California,Torrance,434
California,Tracy,435
California,Trinidad,436
California,Truckee,437
California,Tulare,438
California,Tulelake,439
California,Turlock,440
California,Tustin,441
California,Twentynine Palms,442
California,Ukiah,443
California,Union City,444
California,Upland,445
California,Vacaville,446
California,Vallejo,447
California,Ventura,448
California,Vernon,449
California,Victorville,450
California,Villa Park,451
California,Visalia,452
California,Vista,453
California,Walnut,454
California,Walnut Creek,455
California,Wasco,456
California,Waterford,457
California,Watsonville,458
California,Weed,459
California,West Covina,460
California,West Hollywood,461
California,West Sacramento,462
California,Westlake Village,463
California,Westminster,464
California,Westmorland,465
California,Wheatland,466
California,Whittier,467
California,Wildomar,468
California,Williams,469
California,Willits,470
California,Willows,471
California,Windsor,472
California,Winters,473
California,Woodlake,474
California,Woodland,475
California,Woodside,476
California,Yorba Linda,477
California,Yountville,478
California,Yreka,479
California,Yuba City,480
California,Yucaipa,481
California,Yucca Valley,482
